TXNAME,GENEID
lcl|CP064677.1_cds_QPD35005.1_2383,ypdB
lcl|CP064677.1_cds_QPD35006.1_2384,IVL04_12165
lcl|CP064677.1_cds_QPD35007.1_2385,ptsP
lcl|CP064677.1_cds_QPD35008.1_2386,ypdE
lcl|CP064677.1_cds_QPD35009.1_2387,ypdF
lcl|CP064677.1_cds_QPD35010.1_2388,IVL04_12185
lcl|CP064677.1_cds_QPD35011.1_2389,IVL04_12190
lcl|CP064677.1_cds_QPD35012.1_2390,glk
lcl|CP064677.1_cds_QPD35013.1_2391,IVL04_12200
lcl|CP064677.1_cds_QPD35014.1_2392,IVL04_12205
lcl|CP064677.1_cds_QPD35015.1_2393,IVL04_12210
lcl|CP064677.1_cds_QPD35016.1_2394,nupC
lcl|CP064677.1_cds_QPD35017.1_2395,IVL04_12220
lcl|CP064677.1_cds_QPD35018.1_2396,IVL04_12225
lcl|CP064677.1_cds_QPD35019.1_2397,IVL04_12240
lcl|CP064677.1_cds_QPD35020.1_2399,gltX
lcl|CP064677.1_cds_QPD35021.1_2400,xapR
lcl|CP064677.1_cds_QPD35022.1_2401,IVL04_12280
lcl|CP064677.1_cds_QPD35023.1_2402,xapB
lcl|CP064677.1_cds_QPD35024.1_2403,xapA
lcl|CP064677.1_cds_QPD35025.1_2404,IVL04_12295
lcl|CP064677.1_cds_QPD35026.1_2405,IVL04_12300
lcl|CP064677.1_cds_QPD35027.1_2406,IVL04_12305
lcl|CP064677.1_cds_QPD35028.1_2407,IVL04_12310
lcl|CP064677.1_cds_QPD35029.1_2408,ligA
lcl|CP064677.1_cds_QPD35030.1_2409,zipA
lcl|CP064677.1_cds_QPD35031.1_2410,cysZ
lcl|CP064677.1_cds_QPD35032.1_2411,cysK
lcl|CP064677.1_cds_QPD35033.1_2412,ptsH
lcl|CP064677.1_cds_QPD35034.1_2413,ptsI
lcl|CP064677.1_cds_QPD35035.1_2414,crr
lcl|CP064677.1_cds_QPD35036.1_2415,pdxK
lcl|CP064677.1_cds_QPD35037.1_2416,IVL04_12355
lcl|CP064677.1_cds_QPD35038.1_2417,IVL04_12360
lcl|CP064677.1_cds_QPD35039.1_2418,cysM
lcl|CP064677.1_cds_QPD35040.1_2419,cysA
lcl|CP064677.1_cds_QPD35041.1_2420,cysW
lcl|CP064677.1_cds_QPD35042.1_2421,cysT
lcl|CP064677.1_cds_QPD35043.1_2422,cysP
lcl|CP064677.1_cds_QPD35044.1_2423,ucpA
lcl|CP064677.1_cds_QPD35045.1_2424,murR
lcl|CP064677.1_cds_QPD35046.1_2425,murQ
lcl|CP064677.1_cds_QPD35047.1_2426,murP
lcl|CP064677.1_cds_QPD35048.1_2427,pbp4b
lcl|CP064677.1_cds_QPD35049.1_2428,yfeX
lcl|CP064677.1_cds_QPD35050.1_2429,IVL04_12420
lcl|CP064677.1_cds_QPD35051.1_2430,IVL04_12425
lcl|CP064677.1_cds_QPD35052.1_2431,IVL04_12430
lcl|CP064677.1_cds_QPD35053.1_2432,amiA
lcl|CP064677.1_cds_QPD35054.1_2433,hemF
lcl|CP064677.1_cds_QPD35055.1_2434,eutR
lcl|CP064677.1_cds_QPD35056.1_2435,eutK
lcl|CP064677.1_cds_QPD35057.1_2436,eutL
lcl|CP064677.1_cds_QPD35058.1_2437,eutC
lcl|CP064677.1_cds_QPD35059.1_2438,eutB
lcl|CP064677.1_cds_QPD35060.1_2439,IVL04_12470
lcl|CP064677.1_cds_QPD35061.1_2440,IVL04_12475
lcl|CP064677.1_cds_QPD35062.1_2441,IVL04_12480
lcl|CP064677.1_cds_QPD35063.1_2442,IVL04_12485
lcl|CP064677.1_cds_QPD35064.1_2443,IVL04_12490
lcl|CP064677.1_cds_QPD35065.1_2444,IVL04_12495
lcl|CP064677.1_cds_QPD35066.1_2445,IVL04_12500
lcl|CP064677.1_cds_QPD35067.1_2446,IVL04_12505
lcl|CP064677.1_cds_QPD35068.1_2447,IVL04_12510
lcl|CP064677.1_cds_QPD35069.1_2448,eutA
lcl|CP064677.1_cds_QPD35070.1_2449,eutH
lcl|CP064677.1_cds_QPD35071.1_2450,eutG
lcl|CP064677.1_cds_QPD35072.1_2451,eutJ
lcl|CP064677.1_cds_QPD35073.1_2452,IVL04_12535
lcl|CP064677.1_cds_QPD35074.1_2453,eutN
lcl|CP064677.1_cds_QPD35075.1_2454,eutM
lcl|CP064677.1_cds_QPD35076.1_2455,pta
lcl|CP064677.1_cds_QPD35077.1_2456,eutT
lcl|CP064677.1_cds_QPD35078.1_2457,eutQ
lcl|CP064677.1_cds_QPD35079.1_2458,eutP
lcl|CP064677.1_cds_QPD35080.1_2459,eutS
lcl|CP064677.1_cds_QPD35081.1_2460,maeB
lcl|CP064677.1_cds_QPD35082.1_2461,tal
lcl|CP064677.1_cds_QPD35083.1_2462,tkt
lcl|CP064677.1_cds_QPD35084.1_2463,IVL04_12590
lcl|CP064677.1_cds_QPD35085.1_2464,nudK
lcl|CP064677.1_cds_QPD35086.1_2465,aegA
lcl|CP064677.1_cds_QPD35087.1_2466,narQ
lcl|CP064677.1_cds_QPD35088.1_2467,acrD
lcl|CP064677.1_cds_QPD35089.1_2469,IVL04_12620
lcl|CP064677.1_cds_QPD35090.1_2470,dapE
lcl|CP064677.1_cds_QPD35091.1_2471,IVL04_12630
lcl|CP064677.1_cds_QPD35092.1_2472,ypfH
lcl|CP064677.1_cds_QPD35093.1_2473,tmcA
lcl|CP064677.1_cds_QPD35094.1_2474,IVL04_12645
lcl|CP064677.1_cds_QPD35095.1_2475,purC
lcl|CP064677.1_cds_QPD35096.1_2476,bamC
lcl|CP064677.1_cds_QPD35097.1_2477,dapA
lcl|CP064677.1_cds_QPD35098.1_2478,IVL04_12665
lcl|CP064677.1_cds_QPD35099.1_2479,bcp
lcl|CP064677.1_cds_QPD35100.1_2480,hyfA
lcl|CP064677.1_cds_QPD35101.1_2481,hyfB
lcl|CP064677.1_cds_QPD35102.1_2482,hyfC
lcl|CP064677.1_cds_QPD35103.1_2483,hyfD
lcl|CP064677.1_cds_QPD35104.1_2484,hyfE
lcl|CP064677.1_cds_QPD35105.1_2485,hyfF
lcl|CP064677.1_cds_QPD35106.1_2486,hyfG
lcl|CP064677.1_cds_QPD35107.1_2487,hyfH
lcl|CP064677.1_cds_QPD35108.1_2488,hyfI
lcl|CP064677.1_cds_QPD35109.1_2489,hyfJ
lcl|CP064677.1_cds_QPD35110.1_2490,hyfR
lcl|CP064677.1_cds_QPD35111.1_2491,IVL04_12730
lcl|CP064677.1_cds_QPD35112.1_2492,IVL04_12735
lcl|CP064677.1_cds_QPD35113.1_2493,bepA
lcl|CP064677.1_cds_QPD35114.1_2494,arsC
lcl|CP064677.1_cds_QPD35115.1_2495,hda
lcl|CP064677.1_cds_QPD35116.1_2496,uraA
lcl|CP064677.1_cds_QPD35117.1_2497,upp
lcl|CP064677.1_cds_QPD35118.1_2498,purM
lcl|CP064677.1_cds_QPD35119.1_2499,purN
lcl|CP064677.1_cds_QPD35120.1_2500,ppk1
lcl|CP064677.1_cds_QPD35121.1_2501,ppx
lcl|CP064677.1_cds_QPD35122.1_2502,pdeF
lcl|CP064677.1_cds_QPD35123.1_2503,IVL04_12790
lcl|CP064677.1_cds_QPD35124.1_2504,IVL04_12795
lcl|CP064677.1_cds_QPD35125.1_2505,IVL04_12800
lcl|CP064677.1_cds_QPD35126.1_2506,IVL04_12805
lcl|CP064677.1_cds_QPD35127.1_2507,guaA
lcl|CP064677.1_cds_QPD35128.1_2508,guaB
lcl|CP064677.1_cds_QPD35129.1_2509,xseA
lcl|CP064677.1_cds_QPD35130.1_2510,IVL04_12825
lcl|CP064677.1_cds_QPD35131.1_2511,der
lcl|CP064677.1_cds_QPD35132.1_2512,bamB
lcl|CP064677.1_cds_QPD35133.1_2513,yfgM
lcl|CP064677.1_cds_QPD35134.1_2514,hisS
lcl|CP064677.1_cds_QPD35135.1_2515,ispG
lcl|CP064677.1_cds_QPD35136.1_2516,rodZ
lcl|CP064677.1_cds_QPD35137.1_2517,trmG/rlmN
lcl|CP064677.1_cds_QPD35138.1_2518,ndk
lcl|CP064677.1_cds_QPD35139.1_2519,pbpC
lcl|CP064677.1_cds_QPD35140.1_2520,yfhM
lcl|CP064677.1_cds_QPD35141.1_2521,sseA
lcl|CP064677.1_cds_QPD35142.1_2522,sseB
lcl|CP064677.1_cds_QPD35143.1_2523,pepB
lcl|CP064677.1_cds_QPD35144.1_2524,iscX
lcl|CP064677.1_cds_QPD35145.1_2525,fdx
lcl|CP064677.1_cds_QPD35146.1_2526,hscA
lcl|CP064677.1_cds_QPD35147.1_2527,hscB
lcl|CP064677.1_cds_QPD35148.1_2528,iscA
lcl|CP064677.1_cds_QPD35149.1_2529,iscU
lcl|CP064677.1_cds_QPD35150.1_2530,iscS
lcl|CP064677.1_cds_QPD35151.1_2531,iscR
lcl|CP064677.1_cds_QPD35152.1_2532,trmJ
lcl|CP064677.1_cds_QPD35153.1_2533,suhB
lcl|CP064677.1_cds_QPD35154.1_2534,IVL04_12945
lcl|CP064677.1_cds_QPD35155.1_2535,csiE
lcl|CP064677.1_cds_QPD35156.1_2536,IVL04_12955
lcl|CP064677.1_cds_QPD35157.1_2537,hcaR
lcl|CP064677.1_cds_QPD35158.1_2538,IVL04_12965
lcl|CP064677.1_cds_QPD35159.1_2539,IVL04_12970
lcl|CP064677.1_cds_QPD35160.1_2540,IVL04_12975
lcl|CP064677.1_cds_QPD35161.1_2541,hcaB
lcl|CP064677.1_cds_QPD35162.1_2542,IVL04_12985
lcl|CP064677.1_cds_QPD35163.1_2543,IVL04_12990
lcl|CP064677.1_cds_QPD35164.1_2544,IVL04_12995
lcl|CP064677.1_cds_QPD35165.1_2545,IVL04_13000
lcl|CP064677.1_cds_QPD35166.1_2546,IVL04_13005
lcl|CP064677.1_cds_QPD35167.1_2547,IVL04_13010
lcl|CP064677.1_cds_QPD35168.1_2548,IVL04_13015
lcl|CP064677.1_cds_QPD35169.1_2549,IVL04_13020
lcl|CP064677.1_cds_QPD35170.1_2550,IVL04_13025
lcl|CP064677.1_cds_QPD35171.1_2551,glyA
lcl|CP064677.1_cds_QPD35172.1_2552,hmpA
lcl|CP064677.1_cds_QPD35173.1_2553,glnB
lcl|CP064677.1_cds_QPD35174.1_2554,glrR
lcl|CP064677.1_cds_QPD35175.1_2555,qseG
lcl|CP064677.1_cds_QPD35176.1_2556,qseE
lcl|CP064677.1_cds_QPD35177.1_2557,purL
lcl|CP064677.1_cds_QPD35178.1_2558,mltF
lcl|CP064677.1_cds_QPD35179.1_2559,tadA
lcl|CP064677.1_cds_QPD35180.1_2560,yfhb
lcl|CP064677.1_cds_QPD35181.1_2561,IVL04_13080
lcl|CP064677.1_cds_QPD35182.1_2562,yfhL
lcl|CP064677.1_cds_QPD35183.1_2564,acpS
lcl|CP064677.1_cds_QPD35184.1_2565,pdxJ
lcl|CP064677.1_cds_QPD35185.1_2566,recO
lcl|CP064677.1_cds_QPD35186.1_2567,era
lcl|CP064677.1_cds_QPD35187.1_2568,rnc
lcl|CP064677.1_cds_QPD35188.1_2569,lepB
lcl|CP064677.1_cds_QPD35189.1_2570,lepA
lcl|CP064677.1_cds_QPD35190.1_2571,rseC
lcl|CP064677.1_cds_QPD35191.1_2572,rseB
lcl|CP064677.1_cds_QPD35192.1_2573,rseA
lcl|CP064677.1_cds_QPD35193.1_2574,rpoE
lcl|CP064677.1_cds_QPD35194.1_2575,rseD
lcl|CP064677.1_cds_QPD35195.1_2576,nadB
lcl|CP064677.1_cds_QPD35196.1_2577,trmN
lcl|CP064677.1_cds_QPD35197.1_2578,srmB
lcl|CP064677.1_cds_QPD35198.1_2579,IVL04_13170
